2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,variable,value
,,"Energy, Northern Development and Mines (Base)8",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Base)8",,2019 Expenses.Interim22018–19,5751.0
,,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,,,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,2019 Expenses.Interim22018–19,
,,"Environment, Conservation and Parks", Time-Limited Investments,"Environment, Conservation and Parks",,"Environment, Conservation and Parks", Time-Limited Investments,2019 Expenses.Interim22018–19,295.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2019 Expenses.Interim22018–19,983.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2019 Expenses.Interim22018–19,688.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2019 Expenses.Interim22018–19,983.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2019 Expenses.Interim22018–19,688.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2019 Expenses.Interim22018–19,983.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2019 Expenses.Interim22018–19,688.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2019 Expenses.Interim22018–19,688.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2019 Expenses.Interim22018–19,983.0
,,Executive Offices (Base),,Executive Offices (Base),,Executive Offices (Base),,2019 Expenses.Interim22018–19,45.0
,,Executive Offices (Base),,Executive Offices (Base),,Executive Offices (Base),,2019 Expenses.Interim22018–19,45.0
,,Finance, COVID‑19 Response: Support for People and Jobs Fund,,,Finance, COVID‑19 Response: Support for People and Jobs Fund,2019 Expenses.Interim22018–19,
,,Finance, Time-Limited Investments,,,Finance, Time-Limited Investments,2019 Expenses.Interim22018–19,
,,Finance, Investment Management Corporation of Ontario9,,,Finance, Investment Management Corporation of Ontario9,2019 Expenses.Interim22018–19,
,,Finance, COVID‑19 Time-Limited Funding17,,,Finance, COVID‑19 Time-Limited Funding17,2019 Expenses.Interim22018–19,
,,Finance (Base),,Finance (Base),,Finance (Base),,2019 Expenses.Interim22018–19,915.0
,,Francophone Affairs, COVID‑19 Time-Limited Funding18,,,Francophone Affairs, COVID‑19 Time-Limited Funding18,2019 Expenses.Interim22018–19,
,,Francophone Affairs (Base),,,,Francophone Affairs (Base),,2019 Expenses.Interim22018–19,
,,Francophone Affairs (Total),,Francophone Affairs (Total),,Francophone Affairs (Total),,2019 Expenses.Interim22018–19,6.0
,,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,,,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,2019 Expenses.Interim22018–19,
,,Health (Total),,,,Health (Total),,2019 Expenses.Interim22018–19,
,,Health (Total)20,,,,Health (Total)20,,2019 Expenses.Interim22018–19,
,,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,,,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,2019 Expenses.Interim22018–19,
,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,2019 Expenses.Interim22018–19,
,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,2019 Expenses.Interim22018–19,
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2019 Expenses.Interim22018–19,1552.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2019 Expenses.Interim22018–19,1552.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2019 Expenses.Interim22018–19,1552.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2019 Expenses.Interim22018–19,1552.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2019 Expenses.Interim22018–19,1552.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2019 Expenses.Interim22018–19,1552.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2019 Expenses.Interim22018–19,1552.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2019 Expenses.Interim22018–19,1552.0
,,Indigenous Affairs, COVID‑19 Time-Limited Funding23,,,Indigenous Affairs, COVID‑19 Time-Limited Funding23,2019 Expenses.Interim22018–19,
,,Indigenous Affairs (Base),,Indigenous Affairs (Base),,Indigenous Affairs (Base),,2019 Expenses.Interim22018–19,81.0
,,Indigenous Affairs (Total),,Indigenous Affairs (Total),,Indigenous Affairs (Total),,2019 Expenses.Interim22018–19,146.0
,,Infrastructure, Municipal Infrastructure Program Investments12,,,Infrastructure, Municipal Infrastructure Program Investments12,2019 Expenses.Interim22018–19,
,,Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),,,Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),2019 Expenses.Interim22018–19,
,,Infrastructure, COVID‑19 Time-Limited Funding26,,,Infrastructure, COVID‑19 Time-Limited Funding26,2019 Expenses.Interim22018–19,
,,Infrastructure (Base),,Infrastructure (Base),,Infrastructure (Base),,2019 Expenses.Interim22018–19,108.0
,,"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,,,"Labour, Training and Skills Development", COVID‑19 Time-Limited Funding28,2019 Expenses.Interim22018–19,
,,"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,,,"Labour, Training and Skills Development", Training Tax Credits (Co-operative Education    and Apprenticeship Training)27,2019 Expenses.Interim22018–19,
,,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,,,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,2019 Expenses.Interim22018–19,
,,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,,,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,2019 Expenses.Interim22018–19,
,,"Labour, Training and Skills Development (Base)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development (Base)",,2019 Expenses.Interim22018–19,319.0
,,"Labour, Training and Skills Development (Base)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development (Base)",,2019 Expenses.Interim22018–19,319.0
,,"Labour, Training and Skills Development14 (Total)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development14 (Total)",,2019 Expenses.Interim22018–19,319.0
,,"Labour, Training and Skills Development14 (Total)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development14 (Total)",,2019 Expenses.Interim22018–19,319.0
,,Long-Term Care (Total),,Health and Long-Term Care (Total),,Long-Term Care (Total),,2019 Expenses.Interim22018–19,62158.0
,,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,,,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,2019 Expenses.Interim22018–19,
,,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,,,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,2019 Expenses.Interim22018–19,
,,Municipal Affairs and Housing, Safe Restart Agreement,,,Municipal Affairs and Housing, Safe Restart Agreement,2019 Expenses.Interim22018–19,
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2019 Expenses.Interim22018–19,850.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2019 Expenses.Interim22018–19,1484.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2019 Expenses.Interim22018–19,1484.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2019 Expenses.Interim22018–19,850.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2019 Expenses.Interim22018–19,834.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2019 Expenses.Interim22018–19,622.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2019 Expenses.Interim22018–19,834.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2019 Expenses.Interim22018–19,834.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2019 Expenses.Interim22018–19,622.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2019 Expenses.Interim22018–19,834.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2019 Expenses.Interim22018–19,622.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2019 Expenses.Interim22018–19,622.0
,,PRRT Savings,,PRRT Savings,,,,2019 Expenses.Interim22018–19,
,,Seniors and Accessibility, Time-Limited Investments,,,Seniors and Accessibility, Time-Limited Investments,2019 Expenses.Interim22018–19,
,,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,,,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,2019 Expenses.Interim22018–19,
,,Seniors and Accessibility (Base),,,,Seniors and Accessibility (Base),,2019 Expenses.Interim22018–19,59.0
,,Seniors and Accessibility (Total),,,,Seniors and Accessibility (Total),,2019 Expenses.Interim22018–19,59.0
,,Solicitor    General, COVID‑19 Time-Limited Funding34,,,Solicitor    General, COVID‑19 Time-Limited Funding34,2019 Expenses.Interim22018–19,
,,Solicitor    General (Base),,,,Solicitor    General (Base),,2019 Expenses.Interim22018–19,
,,Solicitor General (Total),,,,Solicitor General (Total),,2019 Expenses.Interim22018–19,2907.0
,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,2019 Expenses.Interim22018–19,0.0
,,Transportation, COVID‑19 Time-Limited Funding36,,,Transportation, COVID‑19 Time-Limited Funding36,2019 Expenses.Interim22018–19,
,,Transportation, Federal–Provincial Infrastructure Programs,,,Transportation, Federal–Provincial Infrastructure Programs,2019 Expenses.Interim22018–19,217.0
,,Transportation, Safe Restart Agreement,,,Transportation, Safe Restart Agreement,2019 Expenses.Interim22018–19,
,,Transportation (Base),,Transportation (Base),,Transportation (Base),,2019 Expenses.Interim22018–19,4460.0
,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,2019 Expenses.Interim22018–19,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2019 Expenses.Interim22018–19,1770.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2019 Expenses.Interim22018–19,1770.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2019 Expenses.Interim22018–19,233.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2019 Expenses.Interim22018–19,233.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2019 Expenses.Interim22018–19,1770.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2019 Expenses.Interim22018–19,233.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2019 Expenses.Interim22018–19,233.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2019 Expenses.Interim22018–19,1770.0
